,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14151,679424.776,939.9716949462892,540.4927110671997,3.1326446533203125,True,938.4900856018066,522.693121433258,3.369979858398437,True,
14152,679428.124,935.7148361206056,543.8324475288391,3.141693115234375,True,937.5251770019532,513.7500357627869,3.3777313232421875,True,
14153,679431.477,940.3442001342772,549.0081667900085,3.1030731201171875,True,935.0634384155272,545.4939150810242,3.2847137451171875,True,
14154,679434.82,939.79585647583,531.7836856842041,3.1513214111328125,True,931.834545135498,535.6134939193726,3.3162078857421875,True,
14155,679438.11,933.676300048828,548.3095264434814,3.101669311523437,True,939.4882965087892,538.4788656234741,3.29681396484375,True,
14156,679441.459,937.6401901245116,547.2793006896973,3.0953826904296875,True,943.1272888183594,532.7634429931641,3.3263397216796875,True,
14157,679444.789,932.5355529785156,541.714768409729,3.1282501220703125,True,934.2032432556152,527.2882604598999,3.328521728515625,True,
14158,679448.146,941.4666938781738,541.8246853351593,3.12261962890625,True,929.8049926757812,531.1841154098511,3.318511962890625,True,
14159,679451.519,936.4520645141602,547.9926180839539,3.115997314453125,True,934.306640625,540.7746970653534,3.28900146484375,True,
14160,679454.763,935.7515716552734,531.6148352622986,3.152923583984375,True,933.6407089233398,536.3101387023926,3.302215576171875,True,
14161,679458.126,937.415943145752,543.7173163890839,3.1136932373046875,True,941.5197944641112,521.3990950584412,3.35333251953125,True,
14162,679461.488,950.92866897583,544.2926824092865,3.126922607421875,True,933.0019569396972,525.8062648773193,3.309600830078125,True,
14163,679464.836,960.9387588500977,547.639467716217,3.128875732421875,True,923.8114356994628,535.4741907119751,3.286407470703125,True,
14164,679468.118,960.7717895507812,544.272050857544,3.12353515625,True,916.351203918457,519.7742557525635,3.325042724609375,True,
14165,679471.455,944.5037269592284,537.2467017173767,3.130844116210937,True,920.5363655090332,536.9818067550659,3.283782958984375,True,
14166,679474.813,932.6395225524902,526.1743497848511,3.1672821044921875,True,930.223331451416,518.033287525177,3.3502349853515625,True,
14167,679478.171,932.3589706420898,540.2700126171112,3.1388092041015625,True,945.5340385437012,513.7223553657532,3.3616943359375,True,
14168,679481.415,942.6433181762696,537.4605488777161,3.16046142578125,True,948.3633041381836,518.4114146232605,3.3400115966796875,True,
